Institution	Code	Course	EOS	Mid
"NUI MAYNOOTH"	MH001	Education - Primary Teaching                                	510	535
"NUI MAYNOOTH"	MH002	Education - Primary Teaching - Gaeltacht Applicants         	490	515
"NUI MAYNOOTH"	MH003	Early Childhood - Teaching and Learning (part-time)         	370	395
"NUI MAYNOOTH"	MH101	Arts                                                        	350	395
"NUI MAYNOOTH"	MH102	Music Technology                                            	365	430
"NUI MAYNOOTH"	MH103	Music                                                       	#	#
"NUI MAYNOOTH"	MH104	Mathematics                                                 	445	455
"NUI MAYNOOTH"	MH106	Psychology                                                  	505	515
"NUI MAYNOOTH"	MH107	Social Science                                              	380	405
"NUI MAYNOOTH"	MH108	European Studies                                            	380	430
"NUI MAYNOOTH"	MH109	Media Studies                                               	460	485
"NUI MAYNOOTH"	MH110	Digital Media                                               	360	390
"NUI MAYNOOTH"	MH111	Anthropology                                                	370	405
"NUI MAYNOOTH"	MH112	Politics                                                    	385	395
"NUI MAYNOOTH"	MH113	History                                                     	405	440
"NUI MAYNOOTH"	MH114	English                                                     	400	420
"NUI MAYNOOTH"	MH115	Law (BCL) and Arts                                          	445	490
"NUI MAYNOOTH"	MH116	Community and Youth Work - Full-time                        	#	#
"NUI MAYNOOTH"	MH117	Community and Youth Work - Part-time In-service            	#	#
"NUI MAYNOOTH"	MH119	Law (LLB)                                                   	450	475
"NUI MAYNOOTH"	MH120	Philosophy Politics and Economics (PPE)                    	380	395
"NUI MAYNOOTH"	MH121	International Development                                   	355	405
"NUI MAYNOOTH"	MH140	Computer Science and Software Engineering (Arts)            	350	390
"NUI MAYNOOTH"	MH201	Science                                                     	400	435
"NUI MAYNOOTH"	MH202	Biotechnology                                               	435	445
"NUI MAYNOOTH"	MH203	Computer Science and Software Engineering (Science Entry)   	360	405
"NUI MAYNOOTH"	MH204	Physics with Astrophysics                                   	455	500
"NUI MAYNOOTH"	MH206	Theoretical Physics and Mathematics                         	515	560
"NUI MAYNOOTH"	MH208	Biological and Biomedical Sciences                          	460	480
"NUI MAYNOOTH"	MH209	Psychology (through Science)                                	470	495
"NUI MAYNOOTH"	MH210	Pharmaceutical and Biomedical Chemistry                     	470	495
"NUI MAYNOOTH"	MH211	Multimedia, Mobile and Web Development                      	350	390
"NUI MAYNOOTH"	MH212	Science (with Education)                                    	480	515
"NUI MAYNOOTH"	MH213	Mathematics (with Education)	455	470
"NUI MAYNOOTH"	MH214	Computational Thinking (Comp Sci, Maths and Philosophy)	520	535
"NUI MAYNOOTH"	MH301	Electronic Engineering with Computers                       	345	420
"NUI MAYNOOTH"	MH302	Electronic Engineering                                      	360	390
"NUI MAYNOOTH"	MH303	Electronic Engineering with Communications                  	315	350
"NUI MAYNOOTH"	MH304	Common entry to Computer Electronic and Communications Eng	380	445
"NUI MAYNOOTH"	MH305	Product Design                                              	365	385
"NUI MAYNOOTH"	MH401	Finance                                                     	370	400
"NUI MAYNOOTH"	MH403	Accounting and Finance                                      	400	445
"NUI MAYNOOTH"	MH404	Business and Management                                     	435	445
"NUI MAYNOOTH"	MH405	Equine Business                                             	355	385
"NUI MAYNOOTH"	MH406	Law and Business                                            	445	455
"NUI MAYNOOTH"	MH407	Business and Accounting                                     	405	420
"NUI MAYNOOTH"	MH408	International Finance and Economics                         	420	450
"NUI MAYNOOTH"	MH410	Marketing                                                   	400	415
"NUI MAYNOOTH"	MH411	Entrepreneurship                                            	355	385
"NUI MAYNOOTH"	MH901	Arts (Kilkenny Campus - First Year only)                    	AQA	310
"SHANNON COLLEGE	"	SN001	Business Studies in International Hotel Management          	#512	598
"SHANNON COLLEGE	"	SN002	Commerce                                                    	#651	692
"ST ANGELA'S - SLIGO"	AS001	Home Economics with Biology - second level teaching         	510	530
"ST ANGELA'S - SLIGO"	AS002	Home Economics with Religious Education - second level teach	440*	460
"ST ANGELA'S - SLIGO"	AS003	Home Economics with Irish - second level teaching           	410*	455
"ST ANGELA'S - SLIGO"	AS004	Home Economics with Economics - second level teaching       	415*	445
"ST ANGELA'S - SLIGO"	AS051	Food and Business Management                                	265	360
"ST ANGELA'S - SLIGO"	AS052	Health and Disability Studies                               	230	325
"ST ANGELA'S - SLIGO"	AS053	Textiles Fashion and Design with Business Management       	#330	435
